Taxonomy	LA	L13	L1	L9	L5	L17	LB	L14	L2	L10	L6	L18	LC	L15	L3	L11	L7	L19	0	5	18	22	26	30
Candidatus_Actinomarina	0.029349898	0.046341944	0.081443502	0.069512917	0.025438769	0.073555512	0.029349898	0.080950503	0.015282982	0.023762571	0.003450996	0.017846579	0.029349898	0.057286531	0.004831394	0.009564189	0.025931769	0.022086373	0.029349898	0.023269572	0.002366397	0.002563597	0.055117334	0.036876356
PeM15	9.85999E-05	0.0003944	0	0	0	0	9.85999E-05	0	0	0	0	0	9.85999E-05	0	0	0	0	0	9.85999E-05	9.86E-05	0	0	0	0.0001972
Unclassified_Saprospiraceae	0.000262933	0.0001972	0.000788799	0.000591599	0.000788799	0.000887399	0.000262933	0.000690199	0.000788799	0.000985999	0.0002958	0.001774798	0.000262933	0.000690199	0	0.000985999	9.85999E-05	0.006211793	0.000262933	0.0001972	0.000985999	0.0003944	0.0002958	0
Unclassified_Cryomorphaceae	0.052093604	0.001183199	0.067738119	0.013803983	0.002169197	0.00818379	0.052093604	0.006014593	0.056892132	0.047623743	0.02524157	0.026819168	0.052093604	0.014592782	0.049102741	0.019226977	0.011831986	0.00838099	0.052093604	0.00798659	0.06675212	0.023368172	0.00828239	0.00838099
Flavicella	0	0	0	0	0.0001972	0	0	9.86E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Formosa	0.083579833	0.045355946	0.048018142	0.031551962	0.019621376	0.043975547	0.083579833	0.052652337	0.089923092	0.032833761	0.10816407	0.051567738	0.083579833	0.056399132	0.053145336	0.025438769	0.036284756	0.079274305	0.083579833	0.096726484	0.036876356	0.025833169	0.041017551	0.053145336
NS3a_marine_group	0.006836258	0.0002958	0.004239795	0.004535595	0.003845395	0.001281798	0.006836258	0.001183199	0.03332676	0.019029777	0.118319858	0.001873398	0.006836258	0.002366397	0.038552554	0.006507592	0.005718793	0.000788799	0.006836258	0.000591599	0.020212976	0.056596332	0.00847959	0.001084599
NS4_marine_group	0.031913495	0.01646618	0.041214751	0.073259712	0.026523368	0.019325577	0.031913495	0.019128377	0.051074739	0.060441727	0.018339578	0.018043778	0.031913495	0.019522777	0.065075922	0.069710116	0.031551962	0.009366989	0.031913495	0.014001183	0.049497141	0.038749754	0.059751528	0.005225794
NS5_marine_group	0.01373825	0.009465589	0.009465589	0.015973181	0.015085782	0.021987774	0.01373825	0.013310984	0.004141195	0.018339578	0.045947545	0.018832577	0.01373825	0.017156379	0.004141195	0.01646618	0.019621376	0.017550779	0.01373825	0.009859988	0.005620193	0.017550779	0.04160915	0.01695918
Robertkochia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Winogradskyella	0.003089463	0.001183199	0	0	0.008873989	0	0.003089463	0.005028594	0.007493591	0.003056596	0.011338986	0.0001972	0.003089463	0.005915993	0	0.0003944	0.003746796	0.0002958	0.003089463	0.010254388	0.04190495	0.014987182	0.011831986	0.002267797
Unclassified_Flavobacteriaceae	0.033655426	0.009761388	0.034509959	0.047525143	0.030960363	0.03303096	0.033655426	0.017649379	0.068033918	0.053145336	0.102642477	0.030960363	0.033655426	0.026326168	0.079668704	0.063991323	0.041116151	0.045750345	0.033655426	0.014296983	0.161506606	0.052553737	0.054624334	0.032537961
NS11-12_marine_group	0.002563597	0.002760797	0.026030369	0.080753303	0.055807533	0.043778347	0.002563597	0.002070598	0.00847959	0.024255571	0.002366397	0.034904358	0.002563597	0.002859397	0.000690199	0.063103924	0.032143561	0.038256754	0.002563597	0.007197791	0.002366397	0.006704792	0.077499507	0.045355946
Cyanobium_PCC-6307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Synechococcus_CC9902	0.006573325	9.86E-05	0.000492999	0.0001972	0.000690199	0	0.006573325	0.0001972	0.0003944	0.0001972	9.86E-05	0	0.006573325	0	0.0003944	0.0002958	0.0001972	0	0.006573325	9.86E-05	0.000690199	0.000492999	0.0001972	0
Aestuariicoccus	0.004075462	0.004042595	0.018438178	0.030467363	0.021987774	0.042989548	0.004075462	0.004436995	0.007690791	0.018438178	0.138138434	0.048905541	0.004075462	0.005915993	0.006310392	0.011240387	0.025635969	0.051173339	0.004075462	0.006014593	0.01636758	0.020311576	0.028988365	0.021396174
HIMB11	0.201110892	0.13360284	0.04151055	0.092092289	0.139617432	0.118319858	0.201110892	0.157464011	0.102642477	0.085190298	0.015184382	0.106586472	0.201110892	0.248077302	0.021001775	0.103234076	0.076907908	0.139716032	0.201110892	0.267698679	0.151252218	0.01676198	0.155886413	0.170183396
Unclassified_Rhodobacteraceae	0.081180569	0.044369947	0.079767304	0.023663972	0.01636758	0.013113784	0.081180569	0.045947545	0.093867087	0.029086965	0.010451587	0.043876947	0.081180569	0.049201341	0.111713666	0.035101558	0.015973181	0.041116151	0.081180569	0.067540919	0.128672846	0.040425951	0.015085782	0.014789982
AEGEAN-169_marine_group	0.032077828	0.076316308	0.023466772	0.019917176	0.069414317	0.034707158	0.032077828	0.080851903	0.024058371	0.026720568	0.009761388	0.028002366	0.032077828	0.023959771	0.017945178	0.019621376	0.051469138	0.020705975	0.032077828	0.013113784	0.035397358	0.042693749	0.02474857	0.038355354
SAR11_clade_Ia	0.180141984	0.298363242	0.314533623	0.289193453	0.313350424	0.348254782	0.180141984	0.243738908	0.210214948	0.306645632	0.043679748	0.252514297	0.180141984	0.198087162	0.418457898	0.318773417	0.376848748	0.197101163	0.180141984	0.168605798	0.051567738	0.507887991	0.231808322	0.354860974
OM43_clade	0.005488727	0.005225794	0.000887399	0.000492999	0.001183199	0.000887399	0.005488727	0.004535595	0.001084599	0.001084599	0.001084599	0.001676198	0.005488727	0.002760797	0.000690199	0.000985999	0.001971998	0.002366397	0.005488727	0.004732794	0.0002958	0.001577598	0.000887399	0.001971998
Pseudoalteromonas	0.000361533	0.000788799	0	0	0.0003944	0	0.000361533	0.0001972	0.0001972	0	0.0002958	0.0003944	0.000361533	0	0.0002958	0.0002958	0.000492999	0	0.000361533	0.000690199	0	0	0	0.000690199
Vibrio	0.000525866	0.0001972	9.86E-05	0.0003944	0.000985999	0.000788799	0.000525866	9.86E-05	0	0.0002958	0.001183199	0.000788799	0.000525866	0	0	0.0001972	0.000788799	0.001971998	0.000525866	0.0001972	0	0	0.000492999	0.0001972
Alcanivorax	0.00585026	0.015480181	0.028495366	0.026523368	0.032439361	0.014987182	0.00585026	0.013409584	0.018931177	0.020015776	0.073851311	0.024452771	0.00585026	0.014789982	0.021494774	0.027213567	0.033819759	0.01676198	0.00585026	0.017452179	0.029579965	0.006704792	0.023269572	0.030565963
