Taxonomy	19/06/2023	23/06/2023	27/06/2023	01/07/2039	05/07/2023	10/07/2023	13/07/2023	17/07/2023	21/07/2023	25/07/2023	30/07/2023
Candidatus_Actinomarina	0.032537961	0.016170381	0.040425951	0.027213567	0.026424768	0.056497732	0.050877539	0.053736936	0.047426543	0.089824492	0.086965096
PeM15	0.004239795	0.013508184	0.001183199	0.003746796	0.006014593	0.001774798	0.003352396	0.004634194	0.03303096	0.002366397	0.002760797
Unclassified_Saprospiraceae	0.005521593	0.020903175	0.004634194	0.012226385	0.019424177	0.003648196	0.009169789	0.010648787	0.009564189	0.003648196	0.01656478
Unclassified_Cryomorphaceae	0.009366989	0.144744626	0.093176888	0.03372116	0.010057188	0.06685072	0.044172747	0.030171564	0.04170775	0.057878131	0.021593374
Flavicella	0	0	0	0	0	0	0	0	0	0	0
Formosa	0.001774798	0.004239795	0.010451587	0.018043778	0.010550187	0.004338395	0.023762571	0.00838099	0.011930586	0.003352396	0.005225794
NS3a_marine_group	0	0.0001972	0.0001972	0	9.86E-05	0.0002958	0	0	9.86E-05	0	0
NS4_marine_group	0.017945178	0.034509959	0.018043778	0.035791757	0.030565963	0.012423585	0.037862355	0.036777756	0.062512325	0.026523368	0.032537961
NS5_marine_group	0.02484717	0.046736344	0.028988365	0.046539144	0.022579373	0.029777164	0.036481956	0.023170972	0.03322816	0.021691974	0.032439361
Robertkochia	0	0.0003944	9.86E-05	0	9.86E-05	0.0002958	0.0001972	0.0002958	0	9.86E-05	0
Winogradskyella	0.0001972	0.000985999	0	0.0002958	0.0002958	0.000492999	0.0001972	0.0001972	9.86E-05	9.86E-05	0
Unclassified_Flavobacteriaceae	0.010845987	0.051863538	0.046933544	0.026030369	0.012226385	0.064878722	0.01705778	0.017254979	0.03293236	0.046637744	0.019719976
NS11-12_marine_group	0.001873398	0.004831394	0.004634194	0.004732794	0.006803392	0.006113193	0.007493591	0.005225794	0.003155196	0.003450996	0.002169197
Cyanobium_PCC-6307	0.02494577	0.021987774	0.034608558	0.006310392	0.034904358	0.038059554	0.011733386	0.015184382	0.030270164	0.03352396	0.014099783
Synechococcus_CC9902	0.547229343	0.101064879	0.079175705	0.059850128	0.363734964	0.078781305	0.125517649	0.137053836	0.29146125	0.162887005	0.14967462
Aestuariicoccus	0.004634194	0.015677381	0.029579965	0.003549596	0.002662197	0.012522185	0.001873398	0.001774798	0.004831394	0.011536186	0.001971998
HIMB11	0.098501282	0.092388089	0.166042201	0.196016565	0.057878131	0.138532834	0.144547427	0.115164662	0.054525735	0.103332676	0.091007691
Unclassified_Rhodobacteraceae	0.019029777	0.084401499	0.039834352	0.019818576	0.015973181	0.034115559	0.029579965	0.017550779	0.020015776	0.020015776	0.021593374
AEGEAN-169_marine_group	0.007296391	0.005521593	0.024156971	0.020804575	0.012324985	0.024551371	0.029382765	0.03352396	0.009268389	0.059455729	0.031650562
SAR11_clade_Ia	0.031749162	0.030072964	0.114868862	0.065963321	0.047426543	0.20015776	0.145632025	0.097613883	0.029875764	0.112699665	0.147111023
OM43_clade	0.001183199	0.002169197	0.009268389	0.001577598	0.000985999	0.003450996	0.004338395	0.005225794	0.001577598	0.010747387	0.005127194
Pseudoalteromonas	0	9.86E-05	0	9.86E-05	0	0	0.0001972	0	0.0001972	0.0001972	0
Vibrio	0.000492999	0.0002958	9.86E-05	0.000690199	0.0002958	0.0001972	0.000690199	0.000690199	0.0003944	0.0002958	0.0001972
Alcanivorax	0.000591599	0.001676198	0.007099191	0.003746796	0.002169197	0.003155196	0.002662197	0.003549596	0.000887399	0.002464997	0.001183199
OM60(NOR5)_clade	0.020114376	0.055610333	0.023565372	0.052455137	0.071287714	0.009761388	0.028692566	0.020410176	0.056004733	0.016071781	0.021198975
Pseudohongiella	0.001084599	0.0001972	0.001676198	0.001577598	0.000492999	0.001084599	0.000788799	0.002267797	0.0003944	0.000887399	0.000690199
SAR86_clade	0.006901992	0.003155196	0.012127785	0.042595149	0.015480181	0.011733386	0.03362256	0.040425951	0.013409584	0.022973772	0.030171564
Others	0.127095247	0.246598304	0.209130349	0.31660422	0.229244725	0.196509564	0.210116348	0.319069217	0.211200947	0.187339775	0.264346283
