Taxonomy	01/01/2024	09/01/2024	17/01/2024	29/01/2024
Candidatus_Actinomarina	0.037073556	0.003746796	0.007000592	0.007394991
PeM15	9.86E-05	0	0	0
Unclassified_Saprospiraceae	0	0.0001972	0.000591599	0.0002958
Unclassified_Cryomorphaceae	0.009859988	0.010550187	0.030664563	0.006704792
Flavicella	0	0	0	0
Formosa	0.078978505	0.007099191	0.015085782	0.019424177
NS3a_marine_group	0.003845395	0.006113193	0.006606192	0.010944587
NS4_marine_group	0.018240978	0.009366989	0.030072964	0.02484717
NS5_marine_group	0.018536778	0.014099783	0.030072964	0.053835535
Robertkochia	0.001577598	0.134786038	0.007000592	0
Winogradskyella	0.000788799	0.004042595	0	0.000985999
Unclassified_Flavobacteriaceae	0.023861171	0.042200749	0.044961546	0.027607967
NS11-12_marine_group	0	0.0001972	0.003253796	0.003845395
Cyanobium_PCC-6307	0	0	0	0
Synechococcus_CC9902	0.009268389	0.001676198	0.003648196	0.001873398
Aestuariicoccus	0.001873398	0.000492999	0.001873398	0.002760797
HIMB11	0.149378821	0.047032144	0.247978702	0.15845001
Unclassified_Rhodobacteraceae	0.05807533	0.012916585	0.054229935	0.040130152
AEGEAN-169_marine_group	0.064188523	0.004929994	0.018043778	0.060047328
SAR11_clade_Ia	0.288601854	0.013705384	0.144941826	0.237625715
OM43_clade	0.014395583	0.006310392	0.030861763	0.017550779
Pseudoalteromonas	0.001676198	0.183790179	0.004436995	0.009169789
Vibrio	0.002563597	0.234864918	0.009169789	0.001676198
Alcanivorax	0.004141195	0.000985999	0.012324985	0.009268389
OM60(NOR5)_clade	0.019719976	0.013113784	0.037467955	0.01705778
Pseudohongiella	0.005028594	0.002169197	0.00857819	0.012423585
SAR86_clade	0.052257937	0.005620193	0.031946362	0.037073556
Others	0.135969237	0.239992112	0.219187537	0.239006113
