Taxonomy	10D	11D	12D	13D	14D	15D	16D	18D	20D	22D	24D	26D	10F	11F	12F	13F	14F	15F	16F	18F	20F	22F	24F	26F	0	1	2	3	4	5	6	8	10	12	14	16
Candidatus_Actinomarina	0.037467955	0.052849537	0.055906133	0.010254388	0.014789982	0.009958588	0.006014593	0.001577598	0.001676198	0.001183199	0.003746796	0.005422993	0.037172155	0.047426543	0.040721751	0.020508775	0.015973181	0.010254388	0.005028594	0.001084599	0.000887399	0.0001972	0.0001972	0.000788799	0.022382173	0.038651154	0.05817393	0.01636758	0.021494774	0.018931177	0.005817393	0.0002958	0.000788799	0.001084599	0.001281798	0.001971998
PeM15	0.003056596	0.005620193	0.005324394	0.056004733	0.067146519	0.09998028	0.056300532	0.063301124	0.080358904	0.100571879	0.053539736	0.053539736	0.003450996	0.004634194	0.005521593	0.011536186	0.020410176	0.048905541	0.015677381	0.079077105	0.023170972	0.03362256	0.021987774	0.056793532	0.003450996	0.006507592	0.002859397	0.04190495	0.012423585	0.025537369	0.054624334	0.05028594	0.064484323	0.138631434	0.061723526	0.050877539
Unclassified_Saprospiraceae	0.012620785	0.020508775	0.03362256	0.038946953	0.064385723	0.020114376	0.01646618	0.020212976	0.019226977	0.056004733	0.082035102	0.089430093	0.014099783	0.012817985	0.036876356	0.065174522	0.066160521	0.014888582	0.007887991	0.009366989	0.011930586	0.020212976	0.034411359	0.047722343	0.019128377	0.018635378	0.018339578	0.073161112	0.087951094	0.066160521	0.017353579	0.009761388	0.006014593	0.029481365	0.026621968	0.046933544
Unclassified_Cryomorphaceae	0.026917768	0.027805167	0.014395583	0.022875173	0.012324985	0.013705384	0.012127785	0.015085782	0.01636758	0.002662197	0.003943995	0.007493591	0.025438769	0.013409584	0.01646618	0.03372116	0.011437586	0.011437586	0.006310392	0.011437586	0.006211793	0.002267797	0.002662197	0.001971998	0.009465589	0.00828239	0.014888582	0.022283573	0.022184973	0.012127785	0.012817985	0.007493591	0.022776573	0.00818379	0.003549596	0.005915993
Flavicella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001972	0	0	0	0
Formosa	0.009366989	0.010254388	0.007592191	0.00798659	0.003253796	0.004929994	0.006113193	0.002662197	0.002464997	0.001084599	0.002169197	0.002464997	0.010845987	0.006014593	0.011831986	0.011437586	0.004732794	0.004239795	0.004831394	0.001281798	0.001084599	0.000591599	0.000985999	0.001478998	0.011240387	0.007000592	0.007197791	0.015677381	0.004436995	0.001971998	0.005718793	0.001380398	0.004338395	0.003450996	0.003648196	0.004042595
NS3a_marine_group	0.0001972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NS4_marine_group	0.019128377	0.024058371	0.019522777	0.020410176	0.010155788	0.008972589	0.014987182	0.00828239	0.017747979	0.019325577	0.052257937	0.086866496	0.021889174	0.017945178	0.034411359	0.031946362	0.010648787	0.009662788	0.009662788	0.004239795	0.004239795	0.002957996	0.006014593	0.009859988	0.021691974	0.019029777	0.023861171	0.023466772	0.010057188	0.006803392	0.010352988	0.003056596	0.006310392	0.011141787	0.027016368	0.076809308
NS5_marine_group	0.019325577	0.014592782	0.009268389	0.007394991	0.004239795	0.003056596	0.002662197	0.001183199	0.003155196	0.003253796	0.00838099	0.014888582	0.018142378	0.017649379	0.012522185	0.012029186	0.005324394	0.005225794	0.002760797	0.001281798	0.002859397	0.001577598	0.003845395	0.005620193	0.01676198	0.014494183	0.012916585	0.015085782	0.003253796	0.005028594	0.002760797	0.001183199	0.002662197	0.004535595	0.009268389	0.013113784
Robertkochia	0	0.0001972	9.86E-05	0.0001972	0	0	9.86E-05	0	0	0	0	0	0	0	0	9.86E-05	0.0001972	0	0	0	0	0	0	0	0	0	9.86E-05	9.86E-05	0	0	0	0	0	0	0	0
Winogradskyella	0.0002958	0.000788799	0.000690199	0.001183199	0.001971998	0.002464997	0.005422993	0.049497141	0.022480773	0.005817393	0.002070598	0.003845395	0.001676198	0.0002958	0.001380398	0.001577598	0.003943995	0.001478998	0.001380398	0.022480773	0.004436995	0.003450996	0.002662197	0.001577598	0.001873398	0.001084599	0.000690199	0.002760797	0.002070598	0.001281798	0.004732794	0.032340761	0.002662197	0.003253796	0.000690199	0.000985999
Unclassified_Flavobacteriaceae	0.018635378	0.014789982	0.009268389	0.007296391	0.003845395	0.003943995	0.005817393	0.005915993	0.005225794	0.002464997	0.004436995	0.006014593	0.013508184	0.011437586	0.009859988	0.00808519	0.005028594	0.003943995	0.002859397	0.004831394	0.004732794	0.002070598	0.005915993	0.004831394	0.013508184	0.007493591	0.00867679	0.010254388	0.002859397	0.002563597	0.004634194	0.004732794	0.002563597	0.006310392	0.007592191	0.012522185
NS11-12_marine_group	0.003155196	0.002366397	0.003352396	0.00798659	0.007789391	0.011141787	0.014888582	0.015480181	0.011240387	0.007099191	0.004141195	0.015381582	0.003845395	0.002366397	0.005817393	0.006113193	0.007394991	0.009564189	0.008972589	0.011634786	0.010057188	0.003943995	0.029185565	0.040524551	0.003746796	0.004141195	0.003746796	0.007000592	0.004141195	0.003746796	0.004535595	0.009958588	0.015973181	0.007296391	0.005620193	0.003549596
