Taxonomy	G3	G4	G6	G7	G8	G9	G11	G12	G13	G14	G15	G16	G17	G18	G19	J3	J4	J6	J7	J8	J9	J11	J12	J13	J14	J15	J16	J17	J18	J19	2	3	6	8	10	12	17	19	21	23	25	27	29	31	33
Candidatus_Actinomarina	0.021691974	0.010254388	0.010155788	0.00798659	0.00838099	9.86E-05	0.0001972	0	0.0001972	0	0	0	0.000985999	0.000788799	0.003056596	0.001183199	0.02524157	0.001380398	0.003155196	0.001676198	0.001183199	0	0.0001972	9.86E-05	0	0	0	0	0	0.009071189	0.013803983	0.007394991	0.001774798	0.002464997	0.001183199	0	0.000788799	0.0001972	0	0.000690199	0.001478998	0.000985999	0.0001972	0.001577598	0.004535595
PeM15	0.0003944	0.0001972	0.0001972	0.0002958	0.0001972	0.000788799	0.000985999	0.000492999	0	9.86E-05	0	0.0002958	0	0	0.0002958	0	0	0	0	0	0	0.0001972	0	9.86E-05	0	0	0	0	0.000492999	0.000690199	0.0003944	0.000492999	0.0002958	0.0002958	0	0.0002958	0	0	0	0	0	0	0	0	0
Unclassified_Saprospiraceae	0.0003944	0.001774798	0.001577598	0.001380398	0.002563597	0.0002958	0.000690199	0.000492999	0	0	9.85999E-05	0.0001972	9.85999E-05	0	0	0.000591599	0	0.002563597	0.004239795	0.001478998	0.000492999	0.0003944	0	0	0	9.85999E-05	0	0	0	0	9.85999E-05	0	0.007887991	0.013508184	0.009268389	0.003450996	0.000788799	0.001380398	0.000492999	0	9.85999E-05	0	0	0	0
Unclassified_Cryomorphaceae	0.028100966	0.026227569	0.023072372	0.021889174	0.019522777	0	0.000690199	0.0001972	0.000690199	9.85999E-05	0.0003944	0	0.000788799	0.003450996	0.003845395	0.000591599	0.002859397	0.007394991	0.011338986	0.003352396	0.001971998	0	0	0	0.0002958	0.0002958	0.000492999	0.0002958	0	0.003845395	0.010352988	0.00838099	0.001084599	0.020212976	0.021889174	0.007197791	0.003648196	0.002859397	0.002267797	9.85999E-05	0.002464997	0.003155196	0.00867679	0.010057188	0.017550779
Flavicella	0.005915993	0.003648196	0.006704792	0.002859397	0.005521593	0.003253796	0.006014593	0.028692566	0.072076514	0.044369947	0.027706567	0.021790574	0.039932952	0.109445869	0.073456912	0.0003944	0	0	0.000591599	0	0	0.001084599	0.013606784	0.017452179	0.017747979	0.005620193	0.004535595	0.001873398	0.003253796	0.0002958	0.007887991	0.006803392	9.86E-05	0	0.0001972	0	9.86E-05	0.0002958	0	0	0	0.0002958	0	0	0
Formosa	0.043088148	0.056990732	0.047820943	0.036087557	0.029481365	0.012916585	0.006310392	0.020903175	0.035002958	0.011338986	0.009366989	0.006310392	0.014987182	0.023368172	0.028593966	0.03342536	0.04200355	0.161013607	0.076020509	0.03362256	0.023170972	0.012916585	0.035200158	0.076809308	0.030368764	0.012719385	0.011141787	0.013212384	0.01666338	0.019917176	0.052060738	0.044074147	0.098895681	0.167619799	0.13330704	0.089923092	0.029875764	0.026128969	0.022579373	0.006803392	0.00847959	0.011043187	0.021889174	0.031453362	0.037665155
NS3a_marine_group	0.001971998	0.003056596	0.005620193	0.00808519	0.00798659	0	0	0.0001972	0	0	0	0	0.0001972	0.0003944	0.0001972	0.0001972	0.000690199	0	0	0	0	0.000492999	0.0002958	9.86E-05	9.86E-05	9.86E-05	0.0002958	0.0002958	0.0001972	0.000690199	0.000788799	0.000591599	0	0	0.0002958	0.0003944	0.001183199	0.001577598	0.000887399	9.86E-05	0	0	0.000690199	0.0003944	0.001774798
NS4_marine_group	0.014987182	0.021297574	0.02494577	0.02504437	0.018931177	0.005620193	0.014395583	0.04180635	0.031650562	0.027706567	0.023762571	0.01705778	0.006901992	0.005718793	0.005225794	0.001873398	0.004436995	0.005620193	0.003845395	0.007887991	0.007493591	0.024058371	0.028791165	0.030763163	0.04151055	0.026917768	0.009366989	0.008972589	0.009071189	0.00867679	0.010155788	0.006408992	0.002169197	0.000690199	0.0001972	0.002267797	0.003155196	0.004831394	0.003253796	0.000985999	0.001774798	0.003253796	0.005324394	0.001577598	0.008775389
NS5_marine_group	0.031256162	0.026326168	0.027903767	0.022776573	0.026917768	0.006408992	0.009465589	0.017353579	0.014001183	0.034214159	0.028100966	0.072076514	0.055708933	0.055906133	0.038256754	0.036383356	0.004732794	0.005718793	0.004141195	0.004732794	0.002267797	0.015184382	0.014691382	0.021593374	0.045848945	0.061427726	0.063005324	0.071484914	0.05827253	0.00867679	0.014099783	0.012817985	0.004141195	0.001183199	0.000788799	0.002760797	0.009958588	0.00857819	0.012817985	0.042693749	0.054427135	0.087359495	0.10027608	0.075527509	0.059850128
Robertkochia	0.0002958	0.011043187	0.000591599	0	0.0001972	0	0	0	0	0	0	0	0	0	0	0	0	0.001380398	0	0	0	0	0	0	9.86E-05	0	0	0	0	0.001971998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Winogradskyella	0.014001183	0.066061921	0.003648196	0.0002958	0.017649379	0.008873989	0.018931177	0.316012621	0	0.001676198	0	0.003450996	0.000591599	0.001084599	0	0.000887399	0.000985999	0.003549596	0	0.003943995	0	0.067343719	0.127785447	0.052060738	0.013409584	0	0.005521593	0.0002958	0.023861171	0	0	0	0.009268389	0.035988957	0.079175705	0.110136068	0.001183199	0.0002958	0.005127194	0	0	0.0001972	0.0001972	0	0
Unclassified_Flavobacteriaceae	0.036580556	0.045257346	0.054328535	0.051370538	0.054131335	0.007099191	0.020311576	0.129165845	0.092881089	0.093275488	0.072470913	0.072963912	0.052553737	0.075428909	0.110333268	0.069118517	0.002366397	0.004634194	0.005225794	0.006606192	0.006014593	0.046834944	0.100769079	0.113981463	0.151942418	0.119305857	0.072273713	0.067540919	0.081049103	0.012620785	0.018635378	0.018536778	0.006704792	0.009366989	0.015578781	0.019029777	0.077006508	0.084401499	0.088739894	0.077598107	0.042595149	0.037665155	0.036186157	0.028692566	0.030763163
NS11-12_marine_group	0.004141195	0.009859988	0.006408992	0.008873989	0.006310392	0.000788799	0	0	0.000591599	0.001873398	0.001084599	0.001478998	0.004141195	0.001774798	0.0003944	0.004535595	0.001676198	0.009268389	0.009169789	0.003845395	0.002662197	0.0002958	0	0.0001972	0.001380398	0.002859397	0.000788799	0.000985999	0.001281798	0	0.001971998	0.000591599	0.004338395	0.001478998	0.001380398	0.004535595	0.005718793	0.004338395	0.009761388	0.003450996	0.000887399	0.003056596	0.002169197	0.000788799	0.001183199
Cyanobium_PCC-6307	9.86E-05	0	0.0003944	0	9.86E-05	0	0	0	0	0	0	0	0	0.003549596	0.0002958	0.003943995	0	0	0	0	0	9.86E-05	0	0	0	0	0.000690199	0.0002958	0.001380398	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001183199	0.001281798	0.003450996
Synechococcus_CC9902	0.019719976	0.020311576	0.012817985	0.005028594	0.00798659	0.001084599	0.001084599	0.000492999	0.0003944	0.007394991	0.001183199	0.022973772	0.04200355	0.112601065	0.060145928	0.155985013	0.005324394	0.006606192	0.004535595	0.003450996	0.002070598	0.003253796	0.001281798	0.002070598	0.004436995	0.004338395	0.056892132	0.073358312	0.113784263	0.018635378	0.014691382	0.007296391	0.006803392	0.004141195	0.00808519	0.029777164	0.006408992	0.004338395	0.005718793	0.030072964	0.03342536	0.081246303	0.105600473	0.075921909	0.073654112
Aestuariicoccus	0.003746796	0.005718793	0.008873989	0.00798659	0.006704792	0	0	0	0	0	0	0	0.000492999	0.001971998	0	0.011240387	0.002563597	0	0	0.0003944	0	0.001183199	0.000690199	0.000690199	0.001084599	0.000887399	0.004141195	0.005422993	0.006408992	0.007099191	0.004831394	0.005422993	0.001577598	0.001774798	0.002267797	0.000887399	0.000887399	0.000690199	0.000887399	0.0001972	0	0.000492999	0.0001972	0.000985999	0.003056596
HIMB11	0.119798856	0.149576021	0.092092289	0.081640702	0.087162295	0.012226385	0.005718793	0.006211793	0.010057188	0.020508775	0.015775981	0.021100375	0.035200158	0.044369947	0.047426543	0.031453362	0.140899231	0.175902189	0.063498324	0.039538553	0.020804575	0.006507592	0.006113193	0.007000592	0.014198383	0.013508184	0.016071781	0.013902583	0.015775981	0.190593571	0.182015382	0.176197989	0.161999606	0.162394005	0.233780319	0.285052258	0.059061329	0.050778939	0.055413134	0.059258529	0.065273122	0.068625518	0.072372313	0.059850128	0.10865707
Unclassified_Rhodobacteraceae	0.055215934	0.076809308	0.06655492	0.063892723	0.066160521	0.027903767	0.035594557	0.10027608	0.061624926	0.029579965	0.024058371	0.040130152	0.022086373	0.024058371	0.025635969	0.046736344	0.056892132	0.082725301	0.070991915	0.061329126	0.030467363	0.119798856	0.061526326	0.028791165	0.021790574	0.030368764	0.028100966	0.019719976	0.035298758	0.067935318	0.070498915	0.069217117	0.054722934	0.069808716	0.10845987	0.099191481	0.061131927	0.056596332	0.049398541	0.042595149	0.047426543	0.04131335	0.044665746	0.035594557	0.068526918
AEGEAN-169_marine_group	0.034016959	0.012029186	0.029579965	0.030171564	0.044764346	0.265036482	0.078584106	0.016170381	0.030763163	0.045257346	0.038256754	0.051074739	0.071386314	0.048412542	0.035988957	0.036383356	0.067343719	0.017846579	0.044271347	0.09199369	0.122756853	0.066061921	0.055117334	0.030861763	0.017747979	0.040228752	0.026227569	0.02494577	0.027706567	0.032735161	0.018635378	0.011930586	0.031453362	0.01705778	0.004634194	0.001084599	0.007197791	0.004338395	0.010648787	0.039144153	0.077499507	0.038552554	0.024058371	0.027903767	0.019522777
SAR11_clade_Ia	0.302405837	0.149280221	0.292348649	0.351311378	0.343127588	0.461743246	0.574344311	0.15825281	0.427824887	0.392131729	0.461546046	0.494281207	0.390652731	0.32528101	0.323703412	0.285150858	0.310984027	0.217905739	0.407513311	0.466180241	0.537369355	0.384046539	0.367678959	0.405837113	0.348846381	0.443009268	0.442319069	0.465983041	0.425754289	0.198777361	0.203805955	0.285545257	0.220666535	0.120587655	0.064681522	0.038256754	0.456320252	0.523861171	0.569907316	0.486491816	0.494971406	0.474462631	0.375665549	0.484322619	0.303884835
OM43_clade	0.021593374	0.018142378	0.01695918	0.020903175	0.014395583	0.018142378	0.014198383	0.003450996	0.003450996	0.007789391	0.006408992	0.004141195	0.010845987	0.009859988	0.013212384	0.009958588	0.094064287	0.04969434	0.023170972	0.025734569	0.026326168	0.004732794	0.002070598	0.003253796	0.005817393	0.003549596	0.00847959	0.008775389	0.006014593	0.048412542	0.063005324	0.077302307	0.028199566	0.020114376	0.015085782	0.016170381	0.01676198	0.010648787	0.007789391	0.006507592	0.004929994	0.007592191	0.010451587	0.004831394	0.013508184
Pseudoalteromonas	0.000788799	0.017945178	0.000788799	0.0003944	0.0003944	0.000492999	0	0	0	0	0	0	0.0001972	0	0	0	0.0002958	0.0001972	0	0	0	0.0001972	0	0	0.0001972	9.86E-05	9.86E-05	0	0	0.004535595	0.000985999	0.000788799	9.86E-05	0	0	9.86E-05	0	0	0	0	0	9.86E-05	0.000492999	0	0
Vibrio	0.0003944	0.023565372	0.002957996	0.001971998	0.000690199	0	0	0.000492999	0	0	0.0001972	0	0	9.86E-05	0	9.86E-05	0.000690199	0.018931177	0.007394991	0.001281798	0.000690199	0.0003944	0.0001972	0.0002958	0.001577598	0	0	9.86E-05	0	0.003450996	0.0001972	0	0.007394991	0.003450996	0.000788799	0.002169197	0.0001972	0	0.0002958	0	0.0002958	0	0.000788799	0	0.000492999
Alcanivorax	0.012719385	0.00818379	0.013113784	0.015677381	0.014592782	0.00798659	0.004239795	0.004436995	0.006211793	0.021790574	0.023072372	0.024156971	0.05866693	0.014987182	0.042989548	0.006408992	0.004141195	0.004732794	0.009071189	0.013310984	0.007099191	0.002859397	0.003450996	0.006803392	0.017353579	0.014494183	0.028692566	0.025833169	0.012916585	0.004042595	0.007690791	0.010944587	0.00818379	0.013705384	0.022184973	0.02534017	0.008972589	0.006901992	0.009465589	0.014987182	0.013310984	0.010057188	0.015677381	0.004634194	0.004239795
OM60(NOR5)_clade	0.014987182	0.021593374	0.009761388	0.011141787	0.010648787	0.008775389	0.000591599	0.001971998	0	0.000985999	0.000690199	0.001971998	0.004338395	0.002662197	0.004634194	0.003943995	0.015184382	0.009859988	0.006113193	0.007592191	0.010451587	0.002267797	0.001183199	0.001676198	0.002267797	0.001676198	0.001183199	0.001281798	0.001380398	0.023959771	0.01636758	0.016170381	0.023762571	0.023170972	0.04151055	0.092782489	0.019128377	0.011634786	0.010254388	0.00798659	0.006901992	0.008972589	0.011240387	0.00857819	0.010845987
Pseudohongiella	0.014789982	0.008775389	0.015381582	0.015578781	0.015677381	0.007690791	0.00808519	0.007789391	0.010550187	0.045355946	0.060540327	0.018733978	0.028396766	0.007099191	0.017945178	0.006901992	0.009169789	0.003746796	0.005127194	0.004732794	0.003648196	0.012423585	0.014198383	0.020212976	0.061723526	0.055708933	0.027607967	0.030664563	0.015677381	0.010648787	0.011240387	0.015184382	0.006310392	0.007394991	0.00867679	0.008775389	0.009071189	0.00808519	0.01636758	0.034115559	0.020705975	0.011141787	0.006408992	0.005521593	0.007197791
SAR86_clade	0.050877539	0.026128969	0.052849537	0.055314534	0.005422993	0.036186157	0.064484323	0.027607967	0.095148886	0.072470913	0.079175705	0.000492999	0.034904358	0.01636758	0.021593374	0.011338986	0.035101558	0.020015776	0.041116151	0.060638927	0.06694932	0.04131335	0.051074739	0.063596924	0.05807533	0.054032735	0.03293236	0.032044962	0.000591599	0.03332676	0.035890357	0.044961546	0.034805758	0.036087557	0.035988957	0.02464997	0.110037468	0.106093473	0.001281798	0.037960954	0.014494183	0.009662788	0.010254388	0.013803983	0.020015776
Others	0.146026425	0.179944784	0.172549793	0.152041018	0.184381779	0.106586472	0.135081838	0.117531059	0.106882272	0.14208243	0.126109249	0.12532045	0.123940051	0.111319266	0.142772629	0.24127391	0.172352593	0.189311773	0.199467561	0.156675212	0.126109249	0.186057977	0.114080063	0.115756261	0.142181029	0.108755669	0.159140209	0.132715441	0.143167028	0.289390653	0.239893512	0.172944192	0.277361467	0.267501479	0.190593571	0.135772037	0.111417866	0.081147703	0.11664366	0.10826267	0.10855847	0.100769079	0.145336226	0.126700848	0.200847959
