SampleID	Chlorophyll
G3	295.4725
G4	178.554
G6	113.236
G7	114.953
G8	123.52
G9	130.1805
G11	92.6785
G12	10.563
G13	18.721
G14	15.1285
G15	42.4835
G16	17.4175
G17	13.747
G18	74.853
G19	29.031
J3	251.2185
J4	185.277
J6	118.5925
J7	121.309
J8	120.8925
J9	130.19
J11	24.434
J12	4.7245
J13	6.309
J14	8.296
J15	21.295
J16	29.491
J17	80.7045
J18	131.249
J19	53.241
H3	279.294
H4	193.107
H6	123.0405
H7	76.8745
H8	84.4785
H9	110.373
H11	53.5175
H12	7.501
H13	4.476
H14	5.678
H15	15.608
H16	16.618
H17	29.0745
H18	44.179
H19	25.014
