Sample	Actinobacteriota	Bacteroidota	Cyanobacteria	Planctomycetota	Proteobacteria	Thermoplasmatota	Verrucomicrobiota	Others
LA	0.031124696	0.250772366	0.006606192	0.000361533	0.702557024	0.0001972	0.000230066	0.008150924
L13	0.05028594	0.096233485	9.86E-05	0.000985999	0.849536581	0	0	0.002859397
L1	0.082725301	0.2499507	0.000591599	0.002070598	0.663774403	0	0	0.000887399
L9	0.072273713	0.286728456	0.0001972	0.006606192	0.632616841	0	0.000591599	0.000985999
L5	0.031453362	0.177676987	0.000788799	0.005127194	0.782390061	0	0.001281798	0.001281798
L17	0.079668704	0.185663577	0	0.003155196	0.730723723	0	0.0001972	0.000591599
L14	0.084105699	0.137251035	0.0001972	0.000690199	0.774403471	0	9.86E-05	0.003253796
L2	0.016071781	0.355255374	0.0003944	0.003450996	0.623742852	0	9.86E-05	0.000985999
L10	0.027706567	0.283770459	0.0001972	0.005324394	0.680634983	0	9.86E-05	0.002267797
L6	0.023368172	0.464405443	9.86E-05	0.007592191	0.498225202	0	0.002267797	0.004042595
L18	0.026030369	0.20873595	0	0.01695918	0.744626306	0	0.001183199	0.002464997
L15	0.060047328	0.167619799	0	0	0.770853875	0	0	0.001478998
L3	0.005225794	0.312561625	0.0003944	0.000985999	0.680141984	0	0	0.000690199
L11	0.013508184	0.302701637	0.0002958	0.005718793	0.67540919	0	0.0001972	0.002169197
L7	0.03372116	0.204791954	0.0001972	0.001873398	0.757740091	0	0.0002958	0.001380398
L19	0.032636561	0.238710314	0.000591599	0.04180635	0.679155985	0	0.004436995	0.002662197
L16	0.028199566	0.190297772	9.86E-05	0.0003944	0.779136265	0	0	0.001873398
L4	0.005225794	0.468842437	0.000690199	0.005620193	0.519226977	0	0	0.0003944
L12	0.007099191	0.254486295	0.000492999	0.000985999	0.734273319	0	0.0003944	0.002267797
L8	0.057089331	0.323309012	0.0001972	0.003549596	0.614967462	0	0	0.000887399
L20	0.042397949	0.179944784	0.0002958	0.003549596	0.773023072	0	0.0002958	0.000492999
