Sample	Actinobacteriota	Bacteroidota	Cyanobacteria	Planctomycetota	Proteobacteria	Thermoplasmatota	Verrucomicrobiota	Others
10D	0.050483139	0.146519424	0.400907119	0.003253796	0.377243147	0.000591599	0.004239795	0.01676198
11D	0.070400316	0.152041018	0.319167817	0.011141787	0.4167817	0.001281798	0.00847959	0.020705975
12D	0.071879314	0.137941234	0.290278052	0.010550187	0.460855847	0.001183199	0.007789391	0.019522777
13D	0.090120292	0.188128574	0.413823703	0.02524157	0.264444883	0.0001972	0.007394991	0.010648787
14D	0.092092289	0.179451785	0.325774009	0.030664563	0.336521396	0.003056596	0.007592191	0.02484717
15D	0.121376454	0.174127391	0.27460067	0.048215342	0.343817787	0.003943995	0.006901992	0.027016368
16D	0.070400316	0.19138237	0.136363636	0.038552554	0.543876947	0.000591599	0.004239795	0.014592782
18D	0.077302307	0.218398738	0.305462433	0.035298758	0.332478801	0	0.010451587	0.020607375
20D	0.087655295	0.144350227	0.463912443	0.031650562	0.239696312	9.86E-05	0.014001183	0.018635378
22D	0.107671071	0.12512325	0.55008874	0.026030369	0.167126799	0	0.010550187	0.013409584
24D	0.062808125	0.188325774	0.431177283	0.020311576	0.263064484	0	0.015085782	0.019226977
26D	0.065766121	0.264247683	0.387694735	0.044567147	0.19197397	0	0.032340761	0.013409584
10F	0.051863538	0.148097022	0.37517255	0.005718793	0.399230921	0.000690199	0.004732794	0.014494183
11F	0.061230527	0.10826267	0.387793335	0.00838099	0.415992901	0.000887399	0.005718793	0.011733386
12F	0.069907316	0.171563794	0.34135279	0.00798659	0.393117728	0.000690199	0.004634194	0.010747387
13F	0.046243345	0.246203905	0.212975744	0.018339578	0.434924078	0.004141195	0.013015184	0.024156971
14F	0.046736344	0.194931966	0.288404654	0.036974956	0.40041412	0.002366397	0.006014593	0.024156971
15F	0.069808716	0.132912641	0.255965293	0.057385131	0.458785249	0.003253796	0.004732794	0.017156379
16F	0.027607967	0.113882863	0.090711891	0.045355946	0.702031158	0.002070598	0.005028594	0.013310984
18F	0.092092289	0.131926642	0.238020114	0.079372905	0.362453165	0	0.011733386	0.084401499
20F	0.028889765	0.076217709	0.597120883	0.05846973	0.20873595	0	0.023565372	0.007000592
22F	0.036679156	0.055314534	0.712384145	0.031058963	0.123447052	0	0.03303096	0.00808519
24F	0.028002366	0.111122067	0.665253402	0.049004141	0.105501873	0	0.031551962	0.009564189
26F	0.065174522	0.131433642	0.629560245	0.047525143	0.081739302	0	0.030861763	0.013705384
10E	0.039834352	0.145040426	0.44971406	0.006901992	0.339873792	0.0003944	0.003943995	0.014296983
11E	0.06685072	0.119996056	0.414020903	0.010155788	0.36629856	0.000591599	0.007394991	0.014691382
12E	0.070597515	0.131532242	0.316111221	0.017452179	0.42506409	0.002563597	0.010451587	0.026227569
13E	0.07493591	0.290475251	0.248964701	0.052159337	0.297574443	0.001577598	0.009465589	0.02484717
14E	0.038355354	0.207355551	0.19986196	0.03362256	0.473673832	0.007296391	0.008972589	0.030861763
15E	0.049398541	0.1666338	0.179353185	0.036284756	0.535002958	0.003845395	0.005324394	0.024156971
16E	0.068231118	0.140406232	0.100966279	0.038651154	0.627884047	0.000591599	0.006408992	0.01686058
18E	0.054328535	0.127884047	0.448136462	0.053342536	0.273811871	0	0.023466772	0.019029777
20E	0.068822717	0.079471505	0.647111023	0.009564189	0.172155393	9.86E-05	0.017550779	0.005225794
22E	0.142378229	0.09179649	0.534707158	0.011733386	0.198777361	0	0.010352988	0.010254388
24E	0.065568921	0.100966279	0.503352396	0.013212384	0.295701045	0	0.011536186	0.009662788
26E	0.056990732	0.173239992	0.492802209	0.019522777	0.226878328	0	0.024354171	0.006211793
