Sample	Actinobacteriota	Bacteroidota	Cyanobacteria	Planctomycetota	Proteobacteria	Thermoplasmatota	Verrucomicrobiota	Others
G3	0.029086965	0.20873595	0.019818576	0.000492999	0.736442516	0.000690199	9.86E-05	0.004634194
G4	0.01656478	0.316111221	0.020410176	0.003549596	0.636659436	0.000690199	0.000492999	0.005521593
G6	0.01656478	0.234864918	0.013310984	0.004831394	0.723427332	0.001183199	0.0003944	0.005422993
G7	0.013902583	0.202918556	0.005521593	0.003056596	0.769177677	0.0001972	0.000591599	0.004634194
G8	0.018339578	0.223920331	0.00818379	0.002070598	0.735357918	0.001281798	0.000492999	0.010352988
G9	0.012029186	0.052750937	0.001084599	9.86E-05	0.931473082	0	0.000591599	0.001971998
G11	0.024452771	0.090711891	0.001084599	0	0.870143956	0	0	0.013606784
G12	0.010155788	0.578386906	0.000492999	0	0.410569907	0	0	0.0003944
G13	0.010155788	0.259416289	0.0003944	0.0002958	0.729737724	0	0	0
G14	0.00847959	0.232597121	0.007394991	9.86E-05	0.750739499	0	0	0.000690199
G15	0.007690791	0.175704989	0.001183199	0	0.815322422	0	0	9.85999E-05
G16	0.015677381	0.211891146	0.022973772	0	0.748175902	0	0	0.001281798
G17	0.009958588	0.200453559	0.042102149	0	0.745908105	0	0	0.001577598
G18	0.021297574	0.303884835	0.11634786	0	0.557089331	0	9.86E-05	0.001281798
G19	0.01705778	0.328239006	0.060836127	9.86E-05	0.593275488	0	0	0.000492999
J3	0.063301124	0.271346874	0.159929008	0	0.504338395	0	0	0.001084599
J4	0.030565963	0.087951094	0.005521593	0.0003944	0.863044764	0	0	0.012522185
J6	0.005817393	0.230920923	0.006606192	0.0001972	0.754979294	0	0	0.001478998
J7	0.00828239	0.157365411	0.004732794	0	0.829126405	0	0	0.000492999
J8	0.012127785	0.093176888	0.003549596	0.0001972	0.887004536	0	0.0001972	0.003746796
J9	0.015973181	0.05827253	0.002070598	0	0.9167817	0	0	0.006901992
J11	0.041017551	0.202425557	0.003352396	0.001084599	0.751626898	0	0	0.000492999
J12	0.011240387	0.336718596	0.001281798	0.0002958	0.650463419	0	0	0
J13	0.01626898	0.330408204	0.002070598	9.86E-05	0.651153619	0	0	0
J14	0.011043187	0.327647407	0.004436995	0.0001972	0.656182213	0	0	0.000492999
J15	0.01656478	0.254486295	0.004338395	0	0.724511931	0	0	9.85999E-05
J16	0.011733386	0.20804575	0.057779531	0	0.722145533	0	0	0.0002958
J17	0.008972589	0.205186354	0.073851311	9.86E-05	0.711792546	0	0	9.85999E-05
J18	0.020508775	0.244527707	0.115164662	0	0.619305857	0	9.86E-05	0.0003944
J19	0.011240387	0.096825084	0.018635378	0.000591599	0.863636364	0	9.86E-05	0.008972589
H3	0.019424177	0.154407415	0.014691382	0.0003944	0.803884835	0	0.0001972	0.007000592
H4	0.010451587	0.129363045	0.007296391	0	0.847268783	0	0.000492999	0.005127194
H6	0.006014593	0.164661802	0.006901992	9.86E-05	0.820942615	0	0	0.001380398
H7	0.004239795	0.29155985	0.004436995	0.001676198	0.697199763	0	0	0.000887399
H8	0.003450996	0.32518241	0.00808519	0.000788799	0.662295405	0	0.0001972	0
H9	0.007296391	0.263458884	0.029875764	0.000690199	0.695129166	0	0.000985999	0.002563597
H11	0.004436995	0.143364228	0.006507592	0.0002958	0.838197594	0	0	0.007197791
H12	0.001577598	0.142575429	0.004338395	0.000788799	0.85032538	0	0	0.0003944
H13	0.001281798	0.152731217	0.005718793	0.000591599	0.839676592	0	0	0
H14	0.004732794	0.140603431	0.030171564	0	0.823802011	0	0	0.000690199
H15	0.004436995	0.119010057	0.03342536	0	0.84194439	0	0	0.001183199
H16	0.006507592	0.157759811	0.081246303	0	0.754387695	0	0	9.85999E-05
H17	0.003746796	0.204693354	0.106783672	0	0.682508381	0	0.0001972	0.002070598
H18	0.010747387	0.187043976	0.077203707	0	0.72500493	0	0	0
H19	0.013606784	0.218398738	0.077203707	0	0.68369158	0.001183199	0.0002958	0.005620193
