ID	Simpson	pH	Temperature	Salinity	Chlorophyll_a	DO	Salinity_normalised_TA	DSi	NOx	DIC	pCO2	OmegaAragonite
L13	0.9547	8.2	18.00516667	32.38166667	141.0185	5.582246745	2196.405132	12.91393593	0.106837607	1978.14745	393.6509524	2.444310955
L1	0.9462	8.134	19.285875	32.4225	15.616	5.852927097	2151.795088	1.011708836	0.038743005	1977.640502	512.601228	2.046287782
L9	0.9519	8.167	20.37190909	32.43090909	12.2535	5.722065804	2121.991012	3.32610366	0.140517241	1931.929522	472.4696418	2.204503212
L5	0.9467	7.938	16.0415	32.4125	16.511	6.153207027	2098.878099	2.11812351	0.131896552	2001.143366	736.1343985	1.296127778
L17	0.9349	8.079	17.07825	32.425	19.9775	6.064408293	2095.610109	4.749378825	0.180120813	1957.44567	568.3896842	1.661285367
L14	0.9571	8.26	18.00683333	32.38166667	142.623	5.650403667	2267.422216	13.60184535	0.090400344	2014.624488	346.6071459	2.819793735
L2	0.964	8.168	19.285875	32.4225	11.657	5.736476126	2221.268294	1.865196436	0.054310345	2027.537696	481.5240244	2.267048261
L10	0.9559	8.183	20.37190909	32.43090909	9.4945	5.526163334	2204.237951	2.83589279	0.097413793	1925.916223	311.2736828	3.126808418
L6	0.9336	8.066	16.0415	32.4125	13.1585	6.418824293	2157.363588	7.13190954	0.045689655	2059.153906	766.1203906	1.323711065
L18	0.96	8.1	17.07825	32.425	15.25	6.408308654	2184.798831	3.38122605	0.004393191	2009.724252	478.0263091	2.041531562
L15	0.9476	8.48	18.00333333	32.37333333	146.6925	5.569004828	2516.336828	13.57057674	0.064102564	2108.562594	210.5776081	4.572259467
L3	0.9222	8.193	19.285875	32.4225	6.8955	5.778928151	2450.469894	4.295390076	0	2206.01772	437.6494049	2.884318192
L11	0.9457	8.194	20.37190909	32.43090909	8.245	5.714276441	2425.075479	2.13035565	0.054310345	2103.375983	307.5032409	3.705720132
L7	0.9307	8.109	16.0415	32.4125	14.533	6.375982799	2402.504679	4.38817993	0.080172414	2256.803903	651.5155619	1.840278298
L19	0.9629	8.155	17.07825	32.425	8.429	6.163722666	2444.138803	2.694846375	0	2224.406074	452.0928661	2.596731979
L16	0.9465	8.76	18.0135	32.39666667	164.4115	5.756339	2630.682251	14.16468033	0.02991453	2022.330545	107.1458488	6.861282181
L4	0.9466	8.206	19.285875	32.4225	8.4195	5.937052214	2568.599334	1.559737716	0	2314.640002	456.6497083	3.040818682
L12	0.9151	8.23	20.37190909	32.43090909	10.1625	5.613014727	2588.515037	5.74050673	0.071551724	2303.566098	417.1536649	3.402882981
L8	0.9573	8.195	16.0415	32.4125	11.536	6.444139722	2524.965233	3.373804325	0	2312.277156	477.820159	2.535984839
L20	0.933	8.171	17.07825	32.425	18.926	6.247458315	2553.178338	2.455304475	0	2303.383373	420.2364285	2.953294314
