ID	Simpson	pH	Temperature	Salinity	Chlorophyll_a	DO	Salinity_normalised_TA	DSi	NOx	DIC	pCO2	OmegaAragonite
G4	0.973	8.325	17.647	32.68	178.554	7.580607732	2195.229307	10.29348099	0.004304778	1959.717409	313.5872158	2.854631878
G6	0.9611	8.333	18.85	32.67	113.236	7.334853341	2201.181129	9.922058293	0	1949.400588	306.2480369	3.028233685
G7	0.9539	8.324	18.813	32.72	114.953	6.586685058	2211.22173		0.08974359	1995.49966	361.6907915	2.739518129
G8	0.9533	8.29	18.046	32.82	123.52	6.137628302	2203.989183	11.11077942	0.038461538	1998.423011	346.2961622	2.74980676
G9	0.8758	8.254	18.719	32.87	130.1805	6.469065683	2192.68769	11.16388452	0.038461538	1993.368169	299.1126935	3.171288817
G11	0.8936	8.251	19.051	33.05	92.6785	5.891484441	2202.555976	10.39263747	0.097413793	1995.655842	313.4765003	3.074003284
G12	0.8744	8.181	18.554	33.16	10.563	5.595488661	2189.172949	9.43776888	0.097413793	2017.996356	342.4571763	2.84285335
G13	0.9224	8.123	18.836	33.26	18.721	5.389460019	2180.700165	10.30086504	0.175	2030.976487	363.1930918	2.757014443
G14	0.9314	8.04	19.22	33.31	15.1285	5.187715526	2147.790453	10.76392768	0.243965517	2035.389233	428.616481	2.43481193
G15	0.9041	8.077	19.714	33.36	42.4835	5.308840115	2154.678882	10.34482378	0.295689655	2036.697507	412.8510636	2.56445757
G16	0.8878	8.037333333	19.487	33.41	17.4175	5.244577874	2147.76751	10.54182441	1.942241379	1978.813625	304.2824426	3.107650978
G17	0.9154	7.963	15.451	33.47	13.747	5.672213883	2116.36951	10.94720805	1.890517241	1974.986129	280.0404675	2.814687985
G18	0.9116	7.933	14.958	33.59	74.853	5.814369752	2111.817877	8.58867803	1.410214168	2045.940617	382.5973683	2.242853636
G19	0.9232	8.01	15.196	33.66	29.031	5.835011562	2109.656491	8.18650268	1.135639758	2045.963726	373.7619983	2.305304721
J4	0.9466	8.542	17.774	32.6	185.277	7.070015012	2332.485621	10.05786483	0	1954.463436	188.6355279	4.29993736
J6	0.9552	8.56	19.148	32.68	118.5925	6.735851354	2324.07321	9.764980853	0.030133448	1911.981146	164.9278195	4.790753215
J7	0.9376	8.545	18.924	32.73	121.309	6.358067265	2322.66766	9.77665206	0.038743005	1935.404982	177.30352	4.592766712
J8	0.9254	8.515	18.07	32.83	120.8925	6.263815977	2318.948751	11.14204803	0.004273504	1969.613653	191.6135475	4.312009058
J9	0.8924	8.507	18.829	32.88	130.19	6.194490648	2306.424235	10.81437064	0.021367521	1980.056572	183.6173753	4.610694298
J11	0.9293	8.448	19.187	33.06	24.434	6.011440626	2298.559059	9.85049862	0.097413793	1989.228057	210.3944146	4.218212779
J12	0.9242	8.392	18.557	33.18	4.7245	5.49773216	2291.543852	9.10941708	0.054310345	2011.419576	218.4080337	4.061619365
J13	0.9236	8.332	18.858	33.27	6.309	5.539015782	2264.801623	9.8974614	0.071551724	2035.162636	259.7039506	3.648227181
J14	0.9308	8.287	19.239	33.32	8.296	5.331429267	2261.290891	10.04969332	0.185105467	2033.944585	259.2714265	3.695321666
J15	0.9077	8.287	19.756	33.37	21.295	5.370765549	2261.501349	9.74465907	0.459482759	2042.689917	268.483192	3.687034977
J16	0.9	8.245	19.493	33.43	29.491	5.55900848	2256.180203	9.54765844	2.476724138	1989.404417	207.9636038	4.237737882
J17	0.8835	8.177	15.342	33.48	80.7045	6.084271167	2225.653002	10.21289569	1.307256819	1994.14013	194.3234934	3.829655228
J18	0.8925	8.231	14.77	33.61	131.249	6.312499493	2229.083234	8.18650268	1.673805601	2062.592043	239.1714028	3.356088551
J19	0.9555	8.211	14.997	33.66	53.241	6.424276847	2217.396019	7.96307193	1.399231192	2053.457235	236.358213	3.384247539
