sample_id	Group	Chao1	Shannon	Pielou	Simpson
13D	Wet_Meso_Control	875	4.186	0.652	0.9179
14D	Wet_Meso_Control	993	4.483	0.683	0.9423
15D	Wet_Meso_Control	1223	4.62	0.694	0.9518
16D	Wet_Meso_Control	1113	4.514	0.678	0.9548
18D	Wet_Meso_Control	1001	4.156	0.642	0.9261
20D	Wet_Meso_Control	803	3.683	0.58	0.8549
22D	Wet_Meso_Control	774	3.277	0.525	0.8108
24D	Wet_Meso_Control	861	3.698	0.588	0.8697
26D	Wet_Meso_Control	830	3.926	0.618	0.9077
13F	Wet_Meso_Low	957	4.71	0.724	0.9669
14F	Wet_Meso_Low	1167	4.671	0.698	0.9512
15F	Wet_Meso_Low	759	4.499	0.701	0.9547
16F	Wet_Meso_Low	726	4.036	0.639	0.9189
18F	Wet_Meso_Low	854	4.101	0.638	0.939
20F	Wet_Meso_Low	657	2.923	0.485	0.7818
22F	Wet_Meso_Low	440	2.519	0.431	0.6914
24F	Wet_Meso_Low	642	2.828	0.466	0.7384
26F	Wet_Meso_Low	625	2.945	0.494	0.8148
13E	Wet_Meso_Medium	943	4.741	0.724	0.9631
14E	Wet_Meso_Medium	847	4.625	0.719	0.9653
15E	Wet_Meso_Medium	791	4.491	0.706	0.9635
16E	Wet_Meso_Medium	930	4.257	0.662	0.927
18E	Wet_Meso_Medium	838	3.782	0.595	0.8819
20E	Wet_Meso_Medium	646	2.805	0.467	0.7253
22E	Wet_Meso_Medium	662	3.148	0.52	0.8142
24E	Wet_Meso_Medium	582	3.357	0.56	0.8233
26E	Wet_Meso_Medium	606	3.287	0.557	0.8256
G4	Dry_Meso_Control	765	4.61	0.729	0.973
G6	Dry_Meso_Control	910	4.442	0.701	0.9611
G7	Dry_Meso_Control	568	4.218	0.698	0.9539
G8	Dry_Meso_Control	610	4.204	0.692	0.9533
G9	Dry_Meso_Control	239	2.989	0.565	0.8758
G11	Dry_Meso_Control	165	3.058	0.613	0.8936
G12	Dry_Meso_Control	158	2.996	0.6	0.8744
G13	Dry_Meso_Control	142	3.258	0.661	0.9224
G14	Dry_Meso_Control	193	3.473	0.679	0.9314
G15	Dry_Meso_Control	109	3.084	0.668	0.9041
G16	Dry_Meso_Control	103	3.002	0.65	0.8878
G17	Dry_Meso_Control	196	3.321	0.65	0.9154
G18	Dry_Meso_Control	138	3.164	0.65	0.9116
G19	Dry_Meso_Control	142	3.314	0.675	0.9232
J4	Dry_Meso_Low	206	3.651	0.689	0.9466
J6	Dry_Meso_Low	201	3.729	0.706	0.9552
J7	Dry_Meso_Low	176	3.538	0.687	0.9376
J8	Dry_Meso_Low	214	3.446	0.654	0.9254
J9	Dry_Meso_Low	135	2.984	0.608	0.8924
J11	Dry_Meso_Low	413	3.54	0.634	0.9293
J12	Dry_Meso_Low	207	3.307	0.644	0.9242
J13	Dry_Meso_Low	193	3.379	0.674	0.9236
J14	Dry_Meso_Low	209	3.462	0.677	0.9308
J15	Dry_Meso_Low	184	3.276	0.657	0.9077
J16	Dry_Meso_Low	260	3.379	0.638	0.9
J17	Dry_Meso_Low	153	3.127	0.636	0.8835
J18	Dry_Meso_Low	154	3.139	0.635	0.8925
J19	Dry_Meso_Low	191	3.765	0.722	0.9555
H4	Dry_Meso_Medium	135	3.594	0.733	0.9493
H6	Dry_Meso_Medium	256	3.866	0.709	0.9592
H7	Dry_Meso_Medium	220	3.889	0.733	0.9615
H8	Dry_Meso_Medium	195	3.661	0.699	0.9447
H9	Dry_Meso_Medium	226	3.51	0.656	0.9242
H11	Dry_Meso_Medium	221	2.925	0.556	0.8109
H12	Dry_Meso_Medium	153	2.512	0.507	0.7506
H13	Dry_Meso_Medium	104	2.283	0.498	0.7008
H14	Dry_Meso_Medium	130	2.588	0.547	0.778
H15	Dry_Meso_Medium	120	2.505	0.533	0.7646
H16	Dry_Meso_Medium	92	2.516	0.561	0.7825
H17	Dry_Meso_Medium	127	2.866	0.598	0.8506
H18	Dry_Meso_Medium	112	2.584	0.549	0.7802
H19	Dry_Meso_Medium	200	3.469	0.667	0.9135
