ASV	L13	L1	L9	L5	L17	L14	L2	L10	L6	L18	L15	L3	L11	L7	L19	L16	L4	L12	L8	L20
0ef4b8980e2d67d775158150b58483e9	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
87834c27cc6686033b191b8fce46f7a8	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6b8e979953118b4cb6c0fb07c28e5c46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0a50d60d7698de95ed8224483b5dc56d	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
267c354d65f91320c1efc87abbd318bc	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1f9344506d8bb20014984495eabd3c7a	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c32be047c005a7235a40745659b422cb	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
70368a7ee0f187645148b5ba986e648f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
21f7909fde9c564ae8b45d2cb69afd43	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
6adb3c872979e8b2471175960a88aac6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
681fc847114f37788732e6d35662c28f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
b1333eda91d3f422df7f43e700786d37	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
9f8cb8669c3db5d215ea148f6d408b29	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
126b951da47cfead7d4a8132b4c0ee15	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
545e8ebc93eae0d586d88fefb8cbf646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
26feebc80eeed76f389ade0e7f9a6226	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f661e9c53a0bd500c7826246071a256e	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1fce5e3751b59bd96d4522f265fb1c96	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
57d5c7dbd170b7f7712b5e6642ee8416	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
59de28bf4204aa5da9ca573c927fe2b8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b3f4e3e3cfa7e6606972cb72553b3db8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
78af15beadd098649236000d14c6a4c0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
9b66b992eafa9a29bdb8b95726e7099d	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ca8bdd0ad4814056d3fbea693609d143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
33d18e05f13c86384fc856d15815d630	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
83ba5e693067319ae0092227e9c14ba9	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
1a9931b8cc1d3dc041ba47a49c3638c7	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
48f36540d7da08710ec253ff6e8577cd	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c77c646c193c4d4478a778be7d8b879f	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
f63c55b3ba80c34299af9af2aa911d1a	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
298333fab5654be5af801b3092e8d630	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
c643786f8c54f22bbd49a9dc682e4eda	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
89c0625c550d361427f65d34452a3741	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
bced344fb56c2604d3b5b8419d88d77b	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ead7ed6819cae132fe4a5a1260420fff	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
1dea7d8597fa9a774d78a3519a74e64c	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
511028cfab70db45926b480cfa1d3b30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
d6d23e94d79a78f406f8fe9c8d4a6a0d	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
6cf2358d019ed7a1820bc6c4c86fad1b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
4ddc1bd47d041fb80c9d61975482a2a9	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6a5d7bf848473788ae42f508994cc73c	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
b2b2fc6bf099419d2e08b8e6e9cddf35	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
aaef2e382e7bfc61e24e5f08a23ff380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
1578665b11b5f9d1edd5632d9deae0e2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
80483954ce27c2b97d97ddac3a152ac1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1b137d78fa258df07636138d53809a14	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bf2b4cd824ecde3b24e2e90fa1043b82	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
7dedd57c44883338134113c7b3efa07b	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
412f298aec61cf903d00489b2b9acd63	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
782f12043449bc65b3e7d8a5ad61662c	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
53fe56cc3b6c5398682659a2b3ca32ab	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
eea18ea9a86f92197cd1492c44d60c6d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
168301acb211ce23f423152e0b3d82e5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
181c29b9ae825d74730073673525b84e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
1751c64788b4ec29cc4e358033ce0d70	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
05d16b9f29468f3f28918ba50dbfa8a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0e73efaf98a8e88c72e27f513ff734e7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
3a13a1324e94fd27068b14234ebb5dc0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
7e0d2badd379adf791d319de967a1d28	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
