ASV	19G	23G	27G	1G	5G	10G	13G	17G	21G	25G	30G	B1	B3	B5	B8
436553ed25192ad8aa27f194839435d4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
5629a1d8c200dac5757b40187db87a98	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
b6b498a40e46adfc61f7d4a98e1052d6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
e90f0a6236c392fb836e69e09000efee	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
83d72e06852e27397172ee0e0fa62b1f	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
248e84527767c35d1ebff34dcb8d4676	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
014df9fe1ea26f69886fdf906a357eb4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
a3f6fd7dca4bf9f3ba43b03b6b128b6d	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
10ada32e7e0aeaa838755f12cc8de42f	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
fa96efa784f2fd6c73769bb1810bcadd	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
bf90c560f14b168f40aa1ca5730bc5f7	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
98abc2d6caacd5793920583380cf4c1f	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
6d1ae88ea921290ca221bde315d23709	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
2e674876dc3a679b22edb8dc046fc9bf	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
969e73d993fb579d417e93b00ae60e88	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
cc66818d3c1c8ca368668aaf695cbf04	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
bf86a0e1ba835e8f6a3d8acb907ab803	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
8d2b987aed4ca1a2348868484029f8c5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
7660d5fad7e65d2260a43336ea723f6c	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
d214299ca6480dc1fe024f68ec9334f0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
9558b72ed5b9426b262c5e2199195108	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
a725ee60cd991d8ef9f27b5b91dd2904	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
25d14b6bfe22d1f71e79ead15dd1386e	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ef357b5d5bf4d7ea80ff88d6ce6b6884	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
2c1c315d22686e5d248c3868badbba5e	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
61a68c8dcbb09f5731e97fa0003d1144	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
b7a1913fce85c654d4143a865ccbb24b	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
2139013cdd18dbe2ad639c000fc09c64	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
f656aeff0749e6e4cb7373eb9bf3a7eb	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ebae7cdaaaaac73909c4bab4d9858230	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2b306c869627e070dd06899e5fc288b	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
57797541c15c2e26abf49f3191628c91	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
6dfa0d1dc5164afa50077938d2d9913f	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
dee65a2d397ce9ad4183a91be210919d	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
d57d522327dcdee3bafa4c45ffd4f4bb	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0bd825f0dfba3bd57e0438996dd94116	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
eee02d970b6a81209913c4a248262373	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
cb6496eb17e568b07a4a339796fe7a2f	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
