Day	ID	Date	Group	pH	Temp	Sal	Chla	DO	Salinity_normalised_TA	dSi	NOx	PO4	DIC	pCO2	OmegaAragonite
0		30/12/2023	Dry_Micro_Control	8.28	21.68866667	32.40666667	137.1386667	7.046906568	2185.230819	16.7385647	0.440522313	0.18999	1945.53342	399.891235	2.724504178
5	13	4/1/2024	Dry_Micro_Control	8.2	18.00516667	32.38166667	141.0185	5.582246745	2196.405132	12.91393593	0.106837607	0	1978.14745	393.6509524	2.444310955
9	21	8/1/2024	Dry_Micro_Control	8.15	19.29	32.406	96.1715	5.585440398	2164.652159	6.76523571	0.003	0	1989.436988	517.9604491	2.050245567
14	25	13/1/2024	Dry_Micro_Control	8.16	19.53545	32.417	22.9755	5.671824416	2191.881591	4.39991412	0.131896552	0	1977.711457	422.3343993	2.451971277
18	1	17/1/2024	Dry_Micro_Control	8.134	19.285875	32.4225	15.616	5.852927097	2151.795088	1.011708836	0.038743005	0	1977.640502	512.601228	2.046287782
22	9	21/1/2024	Dry_Micro_Control	8.167	20.37190909	32.43090909	12.2535	5.722065804	2121.991012	3.32610366	0.140517241	0	1931.929522	472.4696418	2.204503212
26	5	25/1/2024	Dry_Micro_Control	7.938	16.0415	32.4125	16.511	6.153207027	2098.878099	2.11812351	0.131896552	0	2001.143366	736.1343985	1.296127778
30	17	29/1/2040	Dry_Micro_Control	8.079	17.07825	32.425	19.9775	6.064408293	2095.610109	4.749378825	0.180120813	0	1957.44567	568.3896842	1.661285367
0		30/12/2023	Dry_Micro_Low	8.28	21.68866667	32.40666667	137.1386667	7.046906568	2185.230819	16.7385647	0.440522313	0.18999	1945.53342	399.891235	2.724504178
5	14	4/1/2024	Dry_Micro_Low	8.26	18.00683333	32.38166667	142.623	5.650403667	2267.422216	13.60184535	0.090400344	0.19	2014.624488	346.6071459	2.819793735
9	22	8/1/2024	Dry_Micro_Low	8.13	19.29	32.406	95.887	5.598952835	2234.695803	9.13093251	0	0.08599825	2058.621177	545.3116796	2.089054073
14	26	13/1/2024	Dry_Micro_Low	8.165	19.53545	32.417	39.9275	5.663645585	2265.430706	5.1129066	0.054310345	0	2042.114717	426.8674218	2.579040361
18	2	17/1/2024	Dry_Micro_Low	8.168	19.285875	32.4225	11.657	5.736476126	2221.268294	1.865196436	0.054310345	0	2027.537696	481.5240244	2.267048261
22	10	21/1/2024	Dry_Micro_Low	8.183	20.37190909	32.43090909	9.4945	5.526163334	2204.237951	2.83589279	0.097413793	0	1925.916223	311.2736828	3.126808418
26	6	25/1/2024	Dry_Micro_Low	8.066	16.0415	32.4125	13.1585	6.418824293	2157.363588	7.13190954	0.045689655	0	2059.153906	766.1203906	1.323711065
30	18	29/1/2041	Dry_Micro_Low	8.1	17.07825	32.425	15.25	6.408308654	2184.798831	3.38122605	0.004393191	0	2009.724252	478.0263091	2.041531562
0		30/12/2023	Dry_Micro_Medium	8.28	21.68866667	32.40666667	137.1386667	7.046906568	2185.230819	16.7385647	0.440522313	0.18999	1945.53342	399.891235	2.724504178
5	15	4/1/2024	Dry_Micro_Medium	8.48	18.00333333	32.37333333	146.6925	5.569004828	2516.336828	13.57057674	0.064102564	0	2108.562594	210.5776081	4.572259467
9	23	8/1/2024	Dry_Micro_Medium	8.21	19.29	32.406	102.9695	5.602552506	2463.614056	7.98751239	0.183091546	0	2238.070184	490.7310773	2.683674149
14	27	13/1/2024	Dry_Micro_Medium	8.223	19.53545	32.417	19.311	5.773475598	2495.416033	5.87280648	0	0	2246.773843	449.1040214	2.948834465
18	3	17/1/2024	Dry_Micro_Medium	8.193	19.285875	32.4225	6.8955	5.778928151	2450.469894	4.295390076	0	0	2206.01772	437.6494049	2.884318192
22	11	21/1/2024	Dry_Micro_Medium	8.194	20.37190909	32.43090909	8.245	5.714276441	2425.075479	2.13035565	0.054310345	0	2103.375983	307.5032409	3.705720132
26	7	25/1/2024	Dry_Micro_Medium	8.109	16.0415	32.4125	14.533	6.375982799	2402.504679	4.38817993	0.080172414	0	2256.803903	651.5155619	1.840278298
30	19	29/1/2042	Dry_Micro_Medium	8.155	17.07825	32.425	8.429	6.163722666	2444.138803	2.694846375	0	0	2224.406074	452.0928661	2.596731979
0		30/12/2023	Dry_Micro_High	8.28	21.68866667	32.40666667	137.1386667	7.046906568	2185.230819	16.7385647	0.440522313	0.18999	1945.53342	399.891235	2.724504178
5	16	4/1/2024	Dry_Micro_High	8.76	18.0135	32.39666667	164.4115	5.756339	2630.682251	14.16468033	0.02991453	0	2022.330545	107.1458488	6.861282181
9	24	8/1/2024	Dry_Micro_High	8.21	19.29	32.406	73.129	5.58376677	2615.797838	7.74108564	0	0	2352.36302	454.4823915	3.146084103
14	28	13/1/2024	Dry_Micro_High	8.246	19.53545	32.417	21.055	5.656635158	2634.001101	0.86309616	0	0	2350.236364	420.9400143	3.386282286
18	4	17/1/2024	Dry_Micro_High	8.206	19.285875	32.4225	8.4195	5.937052214	2568.599334	1.559737716	0	0	2314.640002	456.6497083	3.040818682
22	12	21/1/2024	Dry_Micro_High	8.23	20.37190909	32.43090909	10.1625	5.613014727	2588.515037	5.74050673	0.071551724	0	2303.566098	417.1536649	3.402882981
26	8	25/1/2024	Dry_Micro_High	8.195	16.0415	32.4125	11.536	6.444139722	2524.965233	3.373804325	0	0	2312.277156	477.820159	2.535984839
30	20	29/1/2043	Dry_Micro_High	8.171	17.07825	32.425	18.926	6.247458315	2553.178338	2.455304475	0	0	2303.383373	420.2364285	2.953294314
