Day	ID	Date	Group	pH	Temp	Sal	Chla	DO	Salinity_normalised_TA	dSi	NOx	PO4	DIC	pCO2	OmegaAragonite
0	GG	26/12/2023	Dry_Meso_Control		16.363	32.5	162.3205	6.099460425	2195.36	15.4222972	5.824365045	0.298626	2001.180536	421.174079	2.200570317
1	GG	27/12/2023	Dry_Meso_Control	8.27	16.347	32.55	197.655	6.545401436	2205.382104	14.9659162	3.250107619	0.14721	2013.825725	416.0613281	2.244353391
2	GG	28/12/2023	Dry_Meso_Control	8.273	16.839	32.55	295.4725	6.966805956	2209.615591	13.6170568	0.236762807	0	1980.224707	343.2351921	2.62312948
3	GG	29/12/2023	Dry_Meso_Control	8.325	17.647	32.68	178.554	7.580607732	2195.229307	10.29348099	0.004304778	0	1959.717409	313.5872158	2.854631878
4	GG	30/12/2023	Dry_Meso_Control	8.332	17.937	32.65	122.267	7.302527486	2200.799962	9.92533074	0.012914335	0	1904.411431	238.4287525	3.4352241
5	GG	31/12/2023	Dry_Meso_Control	8.346	18.405	32.6	110.1385	7.537376771	2202.02454	10.30493455	0.106837607	0			
6	GG	1/1/2024	Dry_Meso_Control	8.333	18.85	32.67	113.236	7.334853341	2201.181129	9.922058293	0	0	1949.400588	306.2480369	3.028233685
7	GG	2/1/2024	Dry_Meso_Control	8.328	18.44	32.68	112.4245	7.015489472	2215.076882	10.03986637	0.012820513	0			
8	GG	3/1/2024	Dry_Meso_Control	8.324	18.813	32.72	114.953	6.586685058	2211.22173		0.08974359	0	1995.49966	361.6907915	2.739518129
9	GG	4/1/2024	Dry_Meso_Control	8.324	18.204	32.79	104.903	6.39857195	2183.769061	10.26652695	0	0			
10	GG	5/1/2024	Dry_Meso_Control	8.29	18.046	32.82	123.52	6.137628302	2203.989183	11.11077942	0.038461538	0	1998.423011	346.2961622	2.74980676
11	GG	6/1/2024	Dry_Meso_Control	8.253	18.287	32.87	137.6435	6.232269057	2197.200715	10.93772848	0	0			
12	GG	7/1/2024	Dry_Meso_Control	8.254	18.719	32.87	130.1805	6.469065683	2192.68769	11.16388452	0.038461538	0	1993.368169	299.1126935	3.171288817
