Day	ID	Date	Group	pH	Temp	Sal	Chla	DO	Salinity_normalised_TA	dSi	NOx	PO4	DIC	pCO2	OmegaAragonite
0	GG	26/12/2023	Dry_Meso_Control		16.363	32.5	162.3205	6.099460425	2195.36	15.4222972	5.824365045	0.298626	2001.180536	421.174079	2.200570317
1	GG	27/12/2023	Dry_Meso_Control	8.27	16.347	32.55	197.655	6.545401436	2205.382104	14.9659162	3.250107619	0.14721	2013.825725	416.0613281	2.244353391
2	GG	28/12/2023	Dry_Meso_Control	8.273	16.839	32.55	295.4725	6.966805956	2209.615591	13.6170568	0.236762807	0	1980.224707	343.2351921	2.62312948
3	GG	29/12/2023	Dry_Meso_Control	8.325	17.647	32.68	178.554	7.580607732	2195.229307	10.29348099	0.004304778	0	1959.717409	313.5872158	2.854631878
4	GG	30/12/2023	Dry_Meso_Control	8.332	17.937	32.65	122.267	7.302527486	2200.799962	9.92533074	0.012914335	0	1904.411431	238.4287525	3.4352241
6	GG	1/1/2024	Dry_Meso_Control	8.333	18.85	32.67	113.236	7.334853341	2201.181129	9.922058293	0	0	1949.400588	306.2480369	3.028233685
8	GG	3/1/2024	Dry_Meso_Control	8.324	18.813	32.72	114.953	6.586685058	2211.22173		0.08974359	0	1995.49966	361.6907915	2.739518129
10	GG	5/1/2024	Dry_Meso_Control	8.29	18.046	32.82	123.52	6.137628302	2203.989183	11.11077942	0.038461538	0	1998.423011	346.2961622	2.74980676
12	GG	7/1/2024	Dry_Meso_Control	8.254	18.719	32.87	130.1805	6.469065683	2192.68769	11.16388452	0.038461538	0	1993.368169	299.1126935	3.171288817
14	GG	9/1/2024	Dry_Meso_Control	8.243	18.904	32.95	137.249	6.059734674	2196.851942	9.83078448	0.080172414	0	1980.032649	265.9318233	3.460458504
17	GG	12/1/2024	Dry_Meso_Control	8.251	19.051	33.05	92.6785	5.891484441	2202.555976	10.39263747	0.097413793	0	1995.655842	313.4765003	3.074003284
19	GG	14/1/2024	Dry_Meso_Control	8.181	18.554	33.16	10.563	5.595488661	2189.172949	9.43776888	0.097413793	0	2017.996356	342.4571763	2.84285335
